title,original_air_date,written_by,season,episode,us_viewers_in_millions,imdb_rating
"Simpsons Roasting on an Open Fire","1989-12-17","Mimi Pond","1","1","26.7","8.10"
"Bart the Genius","1990-01-14","Jon Vitti","1","2","24.5","7.70"
"Homer's Odyssey","1990-01-21","Jay Kogen & Wallace Wolodarsky","1","3","27.5","7.30"
"There's No Disgrace Like Home","1990-01-28","Al Jean & Mike Reiss","1","4","20.2","7.70"
"Bart the General","1990-02-04","John Swartzwelder","1","5","27.1","7.90"
"Moaning Lisa","1990-02-11","Al Jean & Mike Reiss","1","6","27.4","7.60"
"The Call of the Simpsons","1990-02-18","John Swartzwelder","1","7","27.6","7.70"
"The Telltale Head","1990-02-25","Al Jean, Mike Reiss, Sam Simon & Matt Groening","1","8","28.0","7.60"
"Life on the Fast Lane","1990-03-18","John Swartzwelder","1","9","33.5","7.40"
"Homer's Night Out","1990-03-25","Jon Vitti","1","10","30.3","7.30"
"The Crepes of Wrath","1990-04-15","George Meyer, Sam Simon, John Swartzwelder & Jon Vitti","1","11","31.2","7.70"
"Krusty Gets Busted","1990-04-29","Jay Kogen & Wallace Wolodarsky","1","12","30.4","8.30"
"Some Enchanted Evening","1990-05-13","Matt Groening & Sam Simon","1","13","27.1","7.70"
"Lard of the Dance","1998-08-23","Jane O'Brien","10","1","11.84","7.60"
"The Wizard of Evergreen Terrace","1998-09-20","John Swartzwelder","10","2","13.90","8.10"
"Bart the Mother","1998-09-27","David X. Cohen","10","3","11.94","7.50"
"Treehouse of Horror IX","1998-10-25","Donick Cary","10","4","15.12","8.00"
"When You Dish Upon a Star","1998-11-08","Richard Appel","10","5","15.34","7.20"
"D'oh-in' in the Wind","1998-11-15","Donick Cary","10","6","13.94","7.50"
"Lisa Gets an 'A'","1998-11-22","Ian Maxtone-Graham","10","7","13.61","8.10"
"Homer Simpson in: 'Kidney Trouble'","1998-12-06","John Swartzwelder","10","8","12.38","7.20"
"Mayored to the Mob","1998-12-20","Ron Hauge","10","9","13.90","8.10"
"Viva Ned Flanders","1999-01-10","David M. Stern","10","10","19.68","7.80"
"Wild Barts Can't Be Broken","1999-01-17","Larry Doyle","10","11","15.21","7.70"
"Sunday, Cruddy Sunday","1999-01-31","Tom Martin, George Meyer, Brian Scully & Mike Scully","10","12","19.11","7.00"
"Homer to the Max","1999-02-07","John Swartzwelder","10","13","13.98","7.70"
"I'm with Cupid","1999-02-14","Dan Greaney","10","14","12.35","7.30"
"Marge Simpson in: 'Screaming Yellow Honkers'","1999-02-21","David M. Stern","10","15","14.64","7.30"
"Make Room for Lisa","1999-02-28","Brian Scully","10","16","12.40","7.50"
"Maximum Homerdrive","1999-03-28","John Swartzwelder","10","17","15.51","7.70"
"Simpsons Bible Stories","1999-04-04","Tim Long","10","18","12.86","7.30"
"Mom and Pop Art","1999-04-11","Al Jean","10","19","14.13","7.60"
"The Old Man and the 'C' Student","1999-04-25","Julie Thacker","10","20","11.16","7.30"
"Monty Can't Buy Me Love","1999-05-02","John Swartzwelder","10","21","12.59","7.10"
"They Saved Lisa's Brain","1999-05-09","Matt Selman","10","22","10.45","7.30"
"Thirty Minutes over Tokyo","1999-05-16","Donick Cary & Dan Greaney","10","23","12.51","8.00"
"Beyond Blunderdome","1999-09-26","Mike Scully","11","1","8.1","7.30"
"Brother's Little Helper","1999-10-03","George Meyer","11","2","7.1","7.50"
"Guess Who's Coming to Criticize Dinner?","1999-10-24","Al Jean","11","3","6.7","7.50"
"Treehouse of Horror X","1999-10-31","Donick Cary","11","4","8.7","7.80"
"E-I-E-I-(Annoyed Grunt)","1999-11-07","Ian Maxtone-Graham","11","5","8.4","7.80"
"Hello Gutter, Hello Fadder","1999-11-14","Al Jean","11","6","9.2","7.30"
"Eight Misbehavin'","1999-11-21","Matt Selman","11","7","9.2","7.00"
"Take My Wife, Sleaze","1999-11-28","John Swartzwelder","11","8","8.9","7.10"
"Grift of the Magi","1999-12-19","Tom Martin","11","9","7.76","7.30"
"Little Big Mom","2000-01-09","Carolyn Omine","11","10","10","7.40"
"Faith Off","2000-01-16","Frank Mula","11","11","10.4","6.80"
"The Mansion Family","2000-01-23","John Swartzwelder","11","12","11.3","7.30"
"Saddlesore Galactica","2000-02-06","Tim Long","11","13","9.6","6.50"
"Alone Again, Natura-Diddily","2000-02-13","Ian Maxtone-Graham","11","14","10.8","7.70"
"Missionary: Impossible","2000-02-20","Ron Hauge","11","15","9.8","7.30"
"Pygmoelian","2000-02-27","Larry Doyle","11","16","9.4","7.30"
"Bart to the Future","2000-03-19","Dan Greaney","11","17","8.77","7.10"
"Days of Wine and D'oh'ses","2000-04-09","Dan Castellaneta & Deb Lacusta","11","18","8.3","7.40"
"Kill the Alligator and Run","2000-04-30","John Swartzwelder","11","19","7.46","6.60"
"Last Tap Dance in Springfield","2000-05-07","Julie Thacker","11","20","7.3","7.10"
"It's a Mad, Mad, Mad, Mad Marge","2000-05-14","Larry Doyle","11","21","7.5","7.10"
"Behind the Laughter","2000-05-21","Tim Long, George Meyer, Mike Scully & Matt Selman","11","22","8.3","7.90"
"Treehouse of Horror XI","2000-11-01","Rob LaZebnik","12","1","13.23","7.60"
"A Tale of Two Springfields","2000-11-05","John Swartzwelder","12","2","16.18","7.40"
"Insane Clown Poppy","2000-11-12","John Frink & Don Payne","12","3","16.44","7.00"
"Lisa the Tree Hugger","2000-11-19","Matt Selman","12","4","14.87","7.10"
"Homer vs. Dignity","2000-11-26","Rob LaZebnik","12","5","14.99","7.00"
"The Computer Wore Menace Shoes","2000-12-03","John Swartzwelder","12","6","15.60","7.70"
"The Great Money Caper","2000-12-10","Carolyn Omine","12","7","16.84","7.20"
"Skinner's Sense of Snow","2000-12-17","Tim Long","12","8","15.87","7.90"
"HOMR","2001-01-07","Al Jean","12","9","18.52","8.10"
"Pokey Mom","2001-01-14","Tom Martin","12","10","15.01","7.10"
"Worst Episode Ever","2001-02-04","Larry Doyle","12","11","18.50","7.40"
"Tennis the Menace","2001-02-11","Ian Maxtone-Graham","12","12","13.98","6.80"
"Day of the Jackanapes","2001-02-18","Al Jean","12","13","15.39","7.10"
"New Kids on the Blecch","2001-02-25","Tim Long","12","14","18.12","7.20"
"Hungry, Hungry Homer","2001-03-04","John Swartzwelder","12","15","17.55","7.50"
"Bye Bye Nerdie","2001-03-11","John Frink & Don Payne","12","16","16.11","6.70"
"Simpson Safari","2001-04-01","John Swartzwelder","12","17","13.28","6.80"
"Trilogy of Error","2001-04-29","Matt Selman","12","18","14.41","8.60"
"I'm Goin' to Praiseland","2001-05-06","Julie Thacker","12","19","13.06","7.20"
"Children of a Lesser Clod","2001-05-13","Al Jean","12","20","13.81","7.20"
"Simpsons Tall Tales","2001-05-20","John Frink & Don Payne","12","21","13.43","6.90"
"Treehouse of Horror XII","2001-11-06","Joel H. Cohen","13","1","13.04","7.60"
"The Parent Rap","2001-11-11","George Meyer & Mike Scully","13","2","14.91","7.10"
"Homer the Moe","2001-11-18","Dana Gould","13","3","14.44","7.10"
"A Hunka Hunka Burns in Love","2001-12-02","John Swartzwelder","13","4","13.38","7.10"
"The Blunder Years","2001-12-09","Ian Maxtone-Graham","13","5","12.93","7.60"
"She of Little Faith","2001-12-16","Bill Freiberger","13","6","13.18","7.10"
"Brawl in the Family","2002-01-06","Joel H. Cohen","13","7","11.83","6.80"
"Sweets and Sour Marge","2002-01-20","Carolyn Omine","13","8","12.27","6.90"
"Jaws Wired Shut","2002-01-27","Matt Selman","13","9","14.24","7.30"
"Half-Decent Proposal","2002-02-10","Tim Long","13","10","13.23","7.30"
"The Bart Wants What It Wants","2002-02-17","John Frink & Don Payne","13","11","11.17","7.00"
"The Lastest Gun in the West","2002-02-24","John Swartzwelder","13","12","13.17","6.50"
"The Old Man and the Key","2002-03-10","Jon Vitti","13","13","14.46","6.50"
"Tales from the Public Domain","2002-03-17","Andrew Kreisberg","13","14","11.69","7.20"
"Blame It on Lisa","2002-03-31","Bob Bendetson","13","15","11.12","7.00"
"Weekend at Burnsie's","2002-04-07","Jon Vitti","13","16","12.49","7.70"
"Gump Roast","2002-04-21","Deb Lacusta & Dan Castellaneta","13","17","12.26","5.40"
"I Am Furious (Yellow)","2002-04-28","John Swartzwelder","13","18","13.38","7.70"
"The Sweetest Apu","2002-05-05","John Swartzwelder","13","19","11.83","6.80"
"Little Girl in the Big Ten","2002-05-12","Jon Vitti","13","20","11.23","7.10"
"The Frying Game","2002-05-19","John Swartzwelder","13","21","10.79","7.00"
"Poppa's Got a Brand New Badge","2002-05-22","Dana Gould","13","22","8.18","7.80"
"Treehouse of Horror XIII","2002-11-03","Marc Wilmore","14","1","16.7","7.60"
"How I Spent My Strummer Vacation","2002-11-10","Mike Scully","14","2","12.5","7.40"
"Bart vs. Lisa vs. the Third Grade","2002-11-17","Tim Long","14","3","13.3","7.10"
"Large Marge","2002-11-24","Ian Maxtone-Graham","14","4","17.4","7.10"
"Helter Shelter","2002-12-01","Brian Pollack & Mert Rich","14","5","15.1","6.70"
"The Great Louse Detective","2002-12-15","John Frink & Don Payne","14","6","15.5","7.30"
"Special Edna","2003-01-05","Dennis Snee","14","7","15.0","7.00"
"The Dad Who Knew Too Little","2003-01-12","Matt Selman","14","8","12.8","7.30"
"The Strong Arms of the Ma","2003-02-02","Carolyn Omine","14","9","15.4","6.80"
"Pray Anything","2003-02-09","Sam O'Neal & Neal Boushell","14","10","13.4","6.70"
"Barting Over","2003-02-16","Andrew Kreisberg","14","11","21.3","6.70"
"I'm Spelling as Fast as I Can","2003-02-16","Kevin Curran","14","12","22.1","7.20"
"A Star Is Born Again","2003-03-02","Brian Kelley","14","13","14.4","6.90"
"Mr. Spritz Goes to Washington","2003-03-09","John Swartzwelder","14","14","14.4","6.80"
"C.E.D'oh","2003-03-16","Dana Gould","14","15","13.0","7.10"
"'Scuse Me While I Miss the Sky","2003-03-30","Dan Greaney & Allen Glazier","14","16","12.6","7.10"
"Three Gays of the Condo","2003-04-13","Matt Warburton","14","17","12.02","7.20"
"Dude, Where's My Ranch?","2003-04-27","Ian Maxtone-Graham","14","18","11.71","6.90"
"Old Yeller-Belly","2003-05-04","John Frink & Don Payne","14","19","11.59","6.60"
"Brake My Wife, Please","2003-05-11","Tim Long","14","20","10.56","6.70"
"The Bart of War","2003-05-18","Marc Wilmore","14","21","12.10","6.60"
"Moe Baby Blues","2003-05-18","J. Stewart Burns","14","22","13.44","7.60"
"Treehouse of Horror XIV","2003-11-02","John Swartzwelder","15","1","16.22","7.50"
"My Mother the Carjacker","2003-11-09","Michael Price","15","2","12.4","7.20"
"The President Wore Pearls","2003-11-16","Dana Gould","15","3","12.7","6.90"
"The Regina Monologues","2003-11-23","John Swartzwelder","15","4","12.2","7.00"
"The Fat and the Furriest","2003-11-30","Joel H. Cohen","15","5","11.7","7.10"
"Today I Am a Clown","2003-12-07","Joel H. Cohen","15","6","10.5","6.40"
"'Tis the Fifteenth Season","2003-12-14","Michael Price","15","7","11.3","7.00"
"Marge vs. Singles, Seniors, Childless Couples and Teens, and Gays","2004-01-04","Jon Vitti","15","8","12.0","6.60"
"I, (Annoyed Grunt)-bot","2004-01-11","Dan Greaney & Allen Glazier","15","9","16.3","7.30"
"Diatribe of a Mad Housewife","2004-01-25","Robin J. Stein","15","10","10.6","7.20"
"Margical History Tour","2004-02-08","Brian Kelley","15","11","8.9","7.10"
"Milhouse Doesn't Live Here Anymore","2004-02-15","Julie Chambers & David Chambers","15","12","9.4","7.20"
"Smart & Smarter","2004-02-22","Carolyn Omine","15","13","12.6","7.10"
"The Ziff Who Came to Dinner","2004-03-14","Deb Lacusta & Dan Castellaneta","15","14","10.7","6.70"
"Co-Dependents' Day","2004-03-21","Matt Warburton","15","15","11.2","6.70"
"The Wandering Juvie","2004-03-28","John Frink & Don Payne","15","16","10.5","7.00"
"My Big Fat Geek Wedding","2004-04-18","Kevin Curran","15","17","9.2","6.60"
"Catch 'Em If You Can","2004-04-25","Ian Maxtone-Graham","15","18","9.3","7.10"
"Simple Simpson","2004-05-02","Jon Vitti","15","19","9.5","7.30"
"The Way We Weren't","2004-05-09","J. Stewart Burns","15","20","6.6","7.20"
"Bart-Mangled Banner","2004-05-16","John Frink","15","21","8.7","6.30"
"Fraudcast News","2004-05-23","Don Payne","15","22","9.2","7.20"
"Treehouse of Horror XV","2004-11-07","Bill Odenkirk","16","1","11.29","7.40"
"All's Fair in Oven War","2004-11-14","Matt Selman","16","2","11.64","6.90"
"Sleeping with the Enemy","2004-11-21","Jon Vitti","16","3","9.95","7.10"
"She Used to Be My Girl","2004-12-05","Tim Long","16","4","10.81","6.50"
"Fat Man and Little Boy","2004-12-12","Joel H. Cohen","16","5","10.31","7.00"
"Midnight Rx","2005-01-16","Marc Wilmore","16","6","8.11","7.10"
"Mommie Beerest","2005-01-30","Michael Price","16","7","9.97","6.80"
"Homer and Ned's Hail Mary Pass","2005-02-06","Tim Long","16","8","23.07","6.30"
"Pranksta Rap","2005-02-13","Matt Selman","16","9","8.01","6.60"
"There's Something About Marrying","2005-02-20","J. Stewart Burns","16","10","10.39","6.90"
"On a Clear Day I Can't See My Sister","2005-03-06","Jeff Westbrook","16","11","10.39","6.70"
"Goo Goo Gai Pan","2005-03-13","Dana Gould","16","12","10.28","6.90"
"Mobile Homer","2005-03-20","Tim Long","16","13","8.49","6.80"
"The Seven-Beer Snitch","2005-04-03","Bill Odenkirk","16","14","7.48","6.80"
"Future-Drama","2005-04-17","Matt Selman","16","15","8.31","7.30"
"Don't Fear the Roofer","2005-05-01","Kevin Curran","16","16","11.92","7.40"
"The Heartbroke Kid","2005-05-01","Ian Maxtone-Graham","16","17","10.79","7.10"
"A Star Is Torn","2005-05-08","Carolyn Omine","16","18","8.72","6.70"
"Thank God, It's Doomsday","2005-05-08","Don Payne","16","19","10.05","7.20"
"Home Away from Homer","2005-05-15","Joel H. Cohen","16","20","8.17","7.10"
